Season,Team,PPG,FG%,FG3%,FT%,OR_per_game,DR_per_game,Ast_per_game,TO_per_game,Stl_per_game,Blk_per_game,PF_per_game,Road_Wins,ConfAbbrev,TeamName,TotalD1Seasons,Seed,CoachName,Qualified
2003,1102,57,48,38,65,4,17,13,11,6,2,19,3,mwc,Air Force,39,,joe_scott,0
2003,1103,79,49,34,74,10,20,15,13,7,2,20,4,mac,Akron,39,,dan_hipsher,0
2003,1104,69,42,32,71,14,24,12,13,7,4,18,4,sec,Alabama,39,Y10,mark_gottfried,1
2003,1105,72,40,36,71,14,23,15,19,9,2,20,2,swac,Alabama A&M,24,,vann_pettaway,0
2003,1106,64,42,35,65,12,24,12,17,8,3,18,5,swac,Alabama St,39,,rob_spivery,0
2003,1107,66,42,36,73,8,20,12,13,7,2,16,2,aec,SUNY Albany,24,,will_brown,0
2003,1108,69,42,32,67,13,23,14,18,8,4,20,7,swac,Alcorn St,39,,davey_whitney,0
2003,1110,66,43,38,68,10,23,14,13,6,2,18,5,patriot,American Univ,39,,jeff_a_jones,0
2003,1111,83,44,33,72,13,25,15,16,10,5,19,7,southern,Appalachian St,39,,houston_fancher,0
2003,1112,85,46,35,70,15,28,18,15,8,4,18,11,pac_ten,Arizona,39,Z01,lute_olson,1
2003,1113,76,48,32,67,14,23,16,14,5,4,19,6,pac_ten,Arizona St,39,Z10,rob_evans,1
2003,1114,70,45,37,69,11,23,12,16,7,2,20,7,sun_belt,Ark Little Rock,39,,porter_moser,0
2003,1115,54,35,28,64,10,21,10,19,8,3,20,2,swac,Ark Pine Bluff,25,,van_holt,0
2003,1116,62,39,31,61,15,23,10,17,6,4,21,1,sec,Arkansas,39,,stan_heath,0
2003,1117,71,43,37,74,11,20,12,13,7,2,21,4,sun_belt,Arkansas St,39,,dickey_nutt,0
2003,1119,54,41,36,68,8,22,12,17,6,2,19,1,patriot,Army,39,,jim_crews,0
2003,1120,70,47,34,66,12,23,13,16,8,5,16,6,sec,Auburn,39,W10,cliff_ellis,1
2003,1122,70,45,35,69,11,24,13,15,7,5,19,9,ovc,Austin Peay,39,W13,dave_loos,1
2003,1123,73,43,32,73,13,22,10,13,5,2,23,4,mac,Ball St,39,,tim_buckley,0
2003,1124,69,41,34,73,12,23,14,13,8,3,16,4,big_twelve,Baylor,39,,dave_bliss,0
2003,1125,72,47,37,70,11,24,17,17,9,2,18,9,a_sun,Belmont,24,,rick_byrd,0
2003,1126,65,41,36,69,12,20,11,16,8,2,19,4,meac,Bethune-Cookman,39,,c_j_reed,0
2003,1127,67,42,35,68,12,24,13,15,6,6,18,5,aec,Binghamton,22,,al_walker,0
