Season,TeamA,TeamB,Win,A_PPG,A_FG%,A_FG3%,A_FT%,A_OR_per_game,A_DR_per_game,A_Ast_per_game,A_TO_per_game,A_Stl_per_game,A_Blk_per_game,A_PF_per_game,A_Road_Wins,A_ConfAbbrev,A_TeamName,A_TotalD1Seasons,A_Seed,A_CoachName,B_PPG,B_FG%,B_FG3%,B_FT%,B_OR_per_game,B_DR_per_game,B_Ast_per_game,B_TO_per_game,B_Stl_per_game,B_Blk_per_game,B_PF_per_game,B_Road_Wins,B_ConfAbbrev,B_TeamName,B_TotalD1Seasons,B_Seed,B_CoachName
2023,1112,1104,,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1113,1104,,70,41,31,69,9,24,14,12,7,5,19,12,pac_twelve,Arizona St,39,Z11a,bobby_hurley,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1116,1104,,74,48,32,69,9,24,13,13,8,5,19,6,sec,Arkansas,39,Z08,eric_musselman,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1120,1104,,73,44,31,70,10,23,14,12,8,5,19,6,sec,Auburn,39,Y09,bruce_pearl,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1124,1104,,77,45,37,75,10,20,14,12,7,2,17,8,big_twelve,Baylor,39,X03,scott_drew,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1129,1104,,72,45,36,74,8,25,11,11,5,3,16,9,mwc,Boise St,39,Z10,leon_rice,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1158,1104,,80,44,33,74,12,25,14,12,7,3,17,14,caa,Col Charleston,32,X12,pat_kelsey,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1159,1104,,78,51,41,66,7,24,18,10,7,3,13,12,patriot,Colgate,39,Y15,matt_langel,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1163,1104,,78,46,36,75,12,24,17,12,7,5,18,10,big_east,Connecticut,39,Z04,dan_hurley,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1166,1104,,77,47,36,77,8,27,16,11,5,4,13,8,big_east,Creighton,39,X06,greg_mcdermott,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1179,1104,,74,46,37,77,7,26,13,10,5,2,15,13,mvc,Drake,39,Y12,darian_devries,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1181,1104,,73,45,34,77,11,25,15,12,6,4,15,10,acc,Duke,39,W05,jon_scheyer,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1192,1104,,76,45,34,75,10,21,14,11,7,2,19,9,nec,F Dickinson,39,W16a,tobin_anderson,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1194,1104,,78,47,37,72,9,26,14,11,6,3,16,14,cusa,FL Atlantic,30,W09,dusty_may,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1202,1104,,80,48,34,73,9,24,16,11,6,3,17,13,southern,Furman,39,X13,bob_richey,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
